🕘️更新时间,#genre#
2026-03-26 06:55:50,http://gfr.x3322.net:9901/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0

📺央视频道,#genre#
CCTV-1,http://gfr.x3322.net:9901/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://gfr.x3322.net:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://k.061899.xyz/m.php?id=cctv1&key=txiptv&playlive=1&authid=0
CCTV-1,http://jasonzhangnas.f3322.net:7088/rtp/233.18.204.52:5140
CCTV-1,http://kodbox.guangyuan.site:8188/rtp/239.77.0.129:5146
CCTV-1,https://iptv.666230.xyz/公众号睡眼迷离的猫/hbgd.php?id=cctv1hd
CCTV-1,http://www.negative.top:50000/rtp/233.50.200.130:5140
CCTV-1,http://1501.lijiuyu.baby:9999/rtp/239.253.224.77:8000
CCTV-1,http://1501.lijiuyu.baby:9999/rtp/239.253.224.89:8000
CCTV-1,http://www.negative.top:50000/rtp/233.50.200.247:5140
CCTV-1,http://106.116.126.240:4022/rtp/239.254.200.45:8008
CCTV-1,http://218.74.248.175:8188/rtp/233.50.200.130:5140
CCTV-1,http://zczb.aylzline.top:8899/rtp/225.1.2.47:10276
CCTV-1,http://218.74.248.175:8188/rtp/233.50.201.118:5140
CCTV-1,http://yhms.aylzline.top:8899/rtp/225.1.2.47:10276
CCTV-1,http://218.74.248.175:8188/rtp/233.50.200.247:5140
CCTV-1,http://124.112.189.132:4022/rtp/238.1.78.166:7200
CCTV-1,http://223.167.230.46:4022/rtp/233.18.204.77:5140
CCTV-1,http://223.167.230.46:4022/rtp/233.18.204.52:5140
CCTV-1,http://pr.19760929.xyz:9688/rtp/239.77.0.129:5146
CCTV-1,http://kent.dzzkent.top:4022/udp/234.1.3.171:5000
CCTV-1,http://124.112.241.101:4022/rtp/238.1.78.166:7200
CCTV-1,http://221.220.132.211:8012/rtp/239.3.1.129:8008
CCTV-1,http://pr.19760929.xyz:9688/rtp/239.77.0.86:5146
CCTV-1,http://114.226.212.147:8787/rtp/239.49.8.19:9614
CCTV-1,http://116.233.63.5:5555/rtp/233.18.204.52:5140
CCTV-1,http://180.109.94.149:4022/udp/239.49.8.19:9614
CCTV-1,http://14.118.74.55:10001/rtp/239.77.0.129:5146
CCTV-1,http://171.8.171.26:8800/rtp/239.16.20.1:10010
CCTV-1,http://211.158.167.71:8888/udp/225.0.4.74:7980
CCTV-2,http://2g545s5578.qicp.vip:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://gfr.x3322.net:9901/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://gfr.x3322.net:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://k.061899.xyz/m.php?id=cctv2&key=txiptv&playlive=1&authid=0
CCTV-2,http://jasonzhangnas.f3322.net:7088/rtp/233.18.204.68:5140
CCTV-2,http://1501.lijiuyu.baby:9999/rtp/239.253.224.232:8000
CCTV-2,http://www.lizhinas.top:10086/rtp/239.252.220.183:5140
CCTV-2,https://iptv.666230.xyz/公众号睡眼迷离的猫/hbgd.php?id=cctv2hd
CCTV-2,http://www.negative.top:50000/rtp/233.50.200.100:5140
CCTV-2,http://106.116.126.240:4022/rtp/239.254.200.158:6000
CCTV-2,http://www.negative.top:50000/rtp/233.50.200.25:5140
CCTV-2,http://220.176.218.198:9000/udp/239.252.220.183:5140
CCTV-2,http://218.74.248.175:8188/rtp/233.50.201.119:5140
CCTV-2,http://218.74.248.175:8188/rtp/233.50.200.100:5140
CCTV-2,http://gfr.x3322.net:9901/tsfile/live/1001_1.m3u8
CCTV-2,http://223.167.230.46:4022/rtp/233.18.204.68:5140
CCTV-2,http://kent.dzzkent.top:4022/udp/234.1.3.173:5000
CCTV-2,http://124.112.241.101:4022/rtp/238.1.78.235:7752
CCTV-2,http://218.74.248.175:8188/rtp/233.50.200.25:5140
CCTV-2,http://114.238.59.117:4000/rtp/239.49.8.130:6000
CCTV-2,http://zb.hexuntong.net:8188/rtp/239.3.1.60:8084
CCTV-2,http://114.226.212.147:8787/rtp/239.49.8.50:9802
CCTV-2,http://211.158.167.71:8888/udp/225.0.4.132:7980
CCTV-2,http://60.4.29.183:8077/rtp/239.253.92.190:6065
CCTV-2,http://114.238.59.117:4000/rtp/239.49.8.50:9802
CCTV-2,http://171.119.204.33:6000/rtp/226.0.2.154:9144
CCTV-2,http://180.109.94.149:4022/udp/239.49.8.50:9802
CCTV-2,http://221.220.132.211:8012/rtp/239.3.1.60:8084
CCTV-2,http://171.8.171.26:8800/rtp/239.16.20.2:10020
CCTV-2,http://115.171.216.84:4000/rtp/225.1.8.2:8084
CCTV-3,http://gfr.x3322.net:9901/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://gfr.x3322.net:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://k.061899.xyz/m.php?id=cctv3&key=txiptv&playlive=1&authid=0
CCTV-3,http://111.56.90.5/000000000000/5000000002000020548/index.m3u8
CCTV-3,http://jasonzhangnas.f3322.net:7088/rtp/233.18.204.69:5140
CCTV-3,https://iptv.666230.xyz/公众号睡眼迷离的猫/hbgd.php?id=cctv3hd
CCTV-3,http://106.116.126.240:4022/rtp/239.254.201.152:7205
CCTV-3,http://220.176.218.198:9000/udp/239.252.219.252:5140
CCTV-3,http://220.176.218.198:9000/udp/239.252.220.193:5140
CCTV-3,http://zczb.aylzline.top:8899/rtp/225.1.2.141:10864
CCTV-3,http://218.74.248.175:8188/rtp/233.50.201.196:5140
CCTV-3,http://218.74.248.175:8188/rtp/233.50.200.107:5140
CCTV-3,http://121.29.169.207:2083/rtp/239.253.92.191:6057
CCTV-3,http://223.167.230.46:4022/rtp/233.18.204.69:5140
CCTV-3,http://124.112.241.101:4022/rtp/238.1.78.170:7232
CCTV-3,http://124.112.189.132:4022/rtp/238.1.78.170:7232
CCTV-3,http://111.196.128.135:20000/rtp/239.3.1.172:8001
CCTV-3,http://221.220.132.211:8012/rtp/239.3.1.172:8001
CCTV-3,http://144.255.16.170:6688/udp/239.21.2.45:5002
CCTV-3,http://14.118.74.55:10001/rtp/239.77.0.169:5146
CCTV-3,http://60.4.29.183:8077/rtp/239.253.92.191:6057
CCTV-3,http://pr.19760929.xyz:9688/rtp/239.77.1.7:5146
CCTV-3,http://180.109.94.149:4022/udp/239.49.8.74:8000
CCTV-3,http://211.158.167.71:8888/udp/225.0.4.142:7980
CCTV-3,http://171.119.204.33:6000/rtp/226.0.2.208:9576
CCTV-3,http://114.226.212.148:8787/rtp/239.49.1.3:6000
CCTV-3,http://114.226.212.149:8787/rtp/239.49.1.3:6000
CCTV-3,http://114.226.212.147:8787/rtp/239.49.1.3:6000
CCTV-3,http://114.254.83.46:8888/rtp/239.3.1.172:8001
CCTV-3,http://171.8.171.26:8800/rtp/239.16.20.3:10030
CCTV-4,http://gfr.x3322.net:9901/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://gfr.x3322.net:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://k.061899.xyz/m.php?id=cctv4&key=txiptv&playlive=1&authid=0
CCTV-4,http://alist.guangyuan.site:8188/rtp/239.253.43.120:5146
CCTV-4,http://1501.lijiuyu.baby:9999/rtp/239.253.224.186:8000
CCTV-4,https://iptv.666230.xyz/公众号睡眼迷离的猫/hbgd.php?id=cctv4
CCTV-4,http://yhms.aylzline.top:8899/rtp/225.1.2.182:11818
CCTV-4,http://yhms.aylzline.top:8899/rtp/225.1.2.183:11824
CCTV-4,http://yhms.aylzline.top:8899/rtp/225.1.2.197:11806
CCTV-4,http://zczb.aylzline.top:8899/rtp/225.1.2.183:11824
CCTV-4,http://pr.19760929.xyz:9688/rtp/239.253.43.121:5146
CCTV-4,http://218.74.248.175:8188/rtp/233.50.201.226:5140
CCTV-4,http://pr.19760929.xyz:9688/rtp/239.77.1.166:5146
CCTV-4,http://223.167.230.46:4022/rtp/233.18.204.70:5140
CCTV-4,http://124.112.241.101:4022/rtp/238.1.78.236:7760
CCTV-4,http://14.118.74.55:10001/rtp/239.253.43.120:5146
CCTV-4,http://pr.19760929.xyz:9688/rtp/239.77.1.163:5146
CCTV-4,http://124.112.189.132:4022/rtp/238.1.78.137:6968
CCTV-4,http://124.112.189.132:4022/rtp/238.1.78.236:7760
CCTV-4,http://221.220.132.211:8012/rtp/239.3.1.105:8092
CCTV-4,http://221.220.132.211:8012/rtp/239.3.1.213:4220
CCTV-4,http://144.255.16.170:6688/udp/239.21.1.154:5002
CCTV-4,http://60.4.29.183:8077/rtp/239.253.92.219:6228
CCTV-4,http://hs.hejd.net:7088/rtp/233.50.201.226:5140
CCTV-4,http://144.255.16.170:6688/udp/239.21.2.28:5002
CCTV-4,http://211.158.167.71:8888/udp/225.0.4.176:7980
CCTV-4,http://14.118.74.55:10001/rtp/239.77.0.194:5146
CCTV-4,http://114.254.83.46:8888/rtp/239.3.1.213:4220
CCTV-4,http://114.254.83.46:8888/rtp/239.3.1.214:4220
CCTV-4,http://171.8.84.159:8800/rtp/239.16.20.4:10040
CCTV-5,https://hlsvda.cntv.kcdnvip.com/asp/adv/hls/main/0303000a/3/default/e1970eaf0cc6450c835fc61c7308a1c9/main.m3u8
CCTV-5,http://gfr.x3322.net:9901/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://gfr.x3322.net:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://k.061899.xyz/m.php?id=cctv5&key=txiptv&playlive=1&authid=0
CCTV-5,http://111.56.90.5/000000000000/5000000004000008885/index.m3u8
CCTV-5,http://jasonzhangnas.f3322.net:7088/rtp/233.18.204.71:5140
CCTV-5,rtmp://ayrtsocndali.v.myalicdn.com/ayocnd/aoyuncctv5_2pd
CCTV-5,http://audios.guangyuan.site:8188/rtp/239.77.0.170:5146
CCTV-5,http://1501.lijiuyu.baby:9999/rtp/239.253.224.192:8000
CCTV-5,https://iptv.666230.xyz/公众号睡眼迷离的猫/hbgd.php?id=cctv5hd
CCTV-5,http://www.negative.top:50000/rtp/233.50.201.194:5140
CCTV-5,http://www.negative.top:50000/rtp/233.50.201.195:5140
CCTV-5,http://www.negative.top:50000/rtp/233.50.201.197:5140
CCTV-5,http://audios.guangyuan.site:8188/rtp/239.77.1.8:5146
CCTV-5,http://zczb.aylzline.top:8899/rtp/225.1.2.142:10870
CCTV-5,http://218.74.248.175:8188/rtp/233.50.201.194:5140
CCTV-5,http://218.74.248.175:8188/rtp/233.50.201.193:5140
CCTV-5,http://218.74.248.175:8188/rtp/233.50.201.195:5140
CCTV-5,http://218.74.248.175:8188/rtp/233.50.201.197:5140
CCTV-5,http://218.74.248.175:8188/rtp/233.50.201.108:5140
CCTV-5,http://rfx2018.55555.io:2345/udp/239.77.0.170:5146
CCTV-5,http://223.167.230.46:4022/rtp/233.18.204.71:5140
CCTV-5,http://124.112.189.132:4022/rtp/238.1.78.171:7240
CCTV-5,http://124.112.241.101:4022/rtp/238.1.78.171:7240
CCTV-5,http://221.220.132.211:8012/rtp/239.3.1.173:8001
CCTV-5,http://116.233.63.5:5555/rtp/233.18.204.71:5140
CCTV-5,http://211.158.167.71:8888/udp/225.0.4.143:7980
CCTV-5,http://171.8.84.159:8800/rtp/239.16.20.53:10530
CCTV-5,http://114.254.83.46:8888/rtp/239.3.1.173:8001
CCTV-5,http://115.171.216.58:4000/rtp/225.1.8.89:8000
