🕘️更新时间,#genre#
2026-04-19 06:47:58,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-1H265_4000.m3u8

📺央视频道,#genre#
CCTV-1,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-1H265_4000.m3u8
CCTV-1,http://gfr.x3322.net:9901/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://gfr.x3322.net:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://k.061899.xyz/m.php?id=cctv1&key=txiptv&playlive=1&authid=0
CCTV-1,http://kodbox.guangyuan.site:8188/rtp/239.77.0.129:5146
CCTV-1,https://iptv.666230.xyz/公众号睡眼迷离的猫/hbgd.php?id=cctv1hd
CCTV-1,http://www.negative.top:50000/rtp/233.50.200.130:5140
CCTV-1,http://www.negative.top:50000/rtp/233.50.200.247:5140
CCTV-1,http://106.116.126.196:4022/rtp/239.254.200.45:8008
CCTV-1,http://yhms.aylzline.top:8899/rtp/225.1.2.47:10276
CCTV-1,http://zczb.aylzline.top:8899/rtp/225.1.2.47:10276
CCTV-1,http://223.144.223.12:3000/udp/239.76.253.151:9000
CCTV-1,http://39.77.162.237:4002/rtp/239.253.254.89:8000
CCTV-1,http://39.77.162.237:4002/rtp/239.253.254.77:8000
CCTV-1,http://223.167.230.46:4022/rtp/233.18.204.77:5140
CCTV-1,http://pr.19760929.xyz:9688/rtp/239.77.0.129:5146
CCTV-1,http://124.112.240.108:4022/rtp/238.1.78.166:7200
CCTV-1,http://113.119.24.177:58888/udp/239.77.1.144:5146
CCTV-1,http://171.119.205.232:6000/rtp/226.0.2.153:9136
CCTV-1,http://pr.19760929.xyz:9688/rtp/239.77.0.86:5146
CCTV-1,http://115.29.208.41:33339/sx-jz-dx.php?id=0001
CCTV-1,http://raytitor.cn:8888/rtp/233.18.204.114:5140
CCTV-1,http://114.238.59.12:4000/rtp/239.49.8.129:6000
CCTV-1,http://221.220.134.47:8012/rtp/239.3.1.129:8008
CCTV-1,http://123.118.56.249:8686/rtp/239.3.1.129:8008
CCTV-1,http://222.189.167.42:4022/udp/239.49.8.19:9614
CCTV-1,http://180.109.94.149:4022/udp/239.49.8.19:9614
CCTV-1,http://raytitor.cn:8888/rtp/233.18.204.52:5140
CCTV-1,http://114.238.59.12:4000/rtp/239.49.8.19:9614
CCTV-1,http://raytitor.cn:8888/rtp/233.18.204.77:5140
CCTV-2,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-2H265_4000.m3u8
CCTV-2,http://gfr.x3322.net:9901/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://gfr.x3322.net:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://k.061899.xyz/m.php?id=cctv2&key=txiptv&playlive=1&authid=0
CCTV-2,http://www.lizhinas.top:10086/rtp/239.252.220.183:5140
CCTV-2,https://iptv.666230.xyz/公众号睡眼迷离的猫/hbgd.php?id=cctv2hd
CCTV-2,http://106.116.126.196:4022/rtp/239.254.200.158:6000
CCTV-2,http://www.negative.top:50000/rtp/233.50.200.25:5140
CCTV-2,http://39.77.162.237:4002/rtp/239.253.254.232:8000
CCTV-2,http://123.157.31.182:7912/rtp/233.50.201.119:5140
CCTV-2,http://223.144.223.12:3000/udp/239.76.253.152:9000
CCTV-2,http://124.114.101.71:6789/rtp/239.112.205.78:5140
CCTV-2,http://121.29.215.108:2083/rtp/239.253.92.190:6065
CCTV-2,http://106.59.2.104:55555/udp/239.200.200.104:8084
CCTV-2,http://gfr.x3322.net:9901/tsfile/live/1001_1.m3u8
CCTV-2,http://223.167.230.46:4022/rtp/233.18.204.68:5140
CCTV-2,http://113.104.184.195:7088/udp/239.77.1.158:5146
CCTV-2,http://113.119.24.177:58888/udp/239.77.1.158:5146
CCTV-2,http://124.112.240.108:4022/rtp/238.1.78.235:7752
CCTV-2,http://kent.dzzkent.top:4022/udp/234.1.3.173:5000
CCTV-2,http://202.107.163.231:5555/udp/238.125.5.20:5140
CCTV-2,http://114.106.151.238:8000/rtp/238.1.78.235:7752
CCTV-2,http://171.119.205.232:6000/rtp/226.0.2.154:9144
CCTV-2,http://183.162.96.188:4000/rtp/238.1.78.235:7752
CCTV-2,http://115.29.208.41:33339/sx-jz-dx.php?id=0002
CCTV-2,http://114.238.59.12:4000/rtp/239.49.8.130:6000
CCTV-2,http://180.109.94.149:4022/udp/239.49.8.50:9802
CCTV-2,http://222.189.167.42:4022/udp/239.49.8.50:9802
CCTV-2,http://27.18.238.11:9100/rtp/239.69.1.102:10250
CCTV-2,http://221.220.134.47:8012/rtp/239.3.1.60:8084
CCTV-3,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-3H265_4000.m3u8
